"date","citations"
2024-05-05,980
2024-05-06,980
2024-05-07,987
2024-05-08,987
2024-05-09,994
2024-05-10,1009
2024-05-11,1009
2024-05-12,1048
2024-05-13,1059
2024-05-14,1059
2024-05-15,1059
2024-05-17,1078
2024-05-18,1095
2024-05-19,1105
2024-05-20,1109
2024-05-21,1112
2024-05-22,1108
2024-05-24,1123
2024-05-25,1141
2024-05-26,1141
2024-05-27,1149
2024-05-28,1153
2024-05-29,1153
2024-05-30,1166
2024-05-31,1166
2024-06-07,1230
2024-06-09,1237
2024-06-10,1250
2024-06-12,1250
2024-06-13,1255
2024-06-14,1279
2024-06-15,1285
2024-06-16,1297
2024-06-17,1301
2024-06-18,1305
2024-06-19,1317
2024-06-20,1321
2024-06-21,1327
2024-06-22,1327
2024-06-23,1356
2024-06-24,1356
2024-06-25,1356
2024-06-26,1372
2024-06-27,1395
2024-06-28,1411
2024-06-29,1426
2024-06-30,1436
2024-07-01,1441
2024-07-02,1442
2024-07-03,1453
2024-07-04,1470
2024-07-05,1489
2024-07-06,1498
2024-07-07,1542
2024-07-08,1542
2024-07-09,1520
2024-07-10,1520
2024-07-11,1564
2024-07-12,1564
2024-07-13,1582
2024-07-15,1608
2024-07-16,1615
2024-07-17,1622
2024-07-18,1630
2024-07-19,1646
2024-07-20,1646
2024-07-21,1656
2024-07-22,1670
2024-07-23,1672
2024-07-24,1677
2024-07-25,1684
2024-07-26,1692
2024-07-27,1701
2024-07-28,1706
2024-07-30,1734
2024-07-31,1733
2024-08-01,1742
2024-08-02,1745
2024-08-03,1749
